round_num,grand_prix,constructor,driver,lap,position,tyre_compound,tyre_life,sector_1_time,sector_2_time,sector_3_time,lap_time
1,Australian Grand Prix,Racing Bulls,LAW,2,17,MEDIUM,2,31.545,18.1,38.892,88.537
1,Australian Grand Prix,Racing Bulls,LAW,3,17,MEDIUM,3,30.837,18.295,37.737,86.869
1,Australian Grand Prix,Racing Bulls,LAW,4,17,MEDIUM,4,30.649,17.998,38.014,86.661
1,Australian Grand Prix,Racing Bulls,LAW,5,17,MEDIUM,5,30.77,17.979,38.393,87.142
1,Australian Grand Prix,Racing Bulls,LAW,6,17,MEDIUM,6,31.183,18.191,38.586,87.96
1,Australian Grand Prix,Racing Bulls,LAW,7,16,MEDIUM,7,30.977,18.039,37.628,86.644
1,Australian Grand Prix,Racing Bulls,LAW,8,16,MEDIUM,8,30.435,18.082,37.371,85.888
1,Australian Grand Prix,Racing Bulls,LAW,9,15,MEDIUM,9,30.229,18.073,37.723,86.025
1,Australian Grand Prix,Racing Bulls,LAW,10,15,MEDIUM,10,30.485,18.132,37.134,85.751
1,Australian Grand Prix,Racing Bulls,LAW,11,16,MEDIUM,11,30.604,18.153,61.269,110.026
1,Australian Grand Prix,Racing Bulls,LAW,12,15,HARD,1,47.42,40.637,42.327,130.384
1,Australian Grand Prix,Racing Bulls,LAW,13,15,HARD,2,33.059,23.573,38.818,95.45
1,Australian Grand Prix,Racing Bulls,LAW,14,15,HARD,3,29.733,18.13,37.37,85.233
1,Australian Grand Prix,Racing Bulls,LAW,15,15,HARD,4,30.225,17.908,38.658,86.791
1,Australian Grand Prix,Racing Bulls,LAW,16,14,HARD,5,32.87,18.431,38.618,89.919
1,Australian Grand Prix,Racing Bulls,LAW,17,14,HARD,6,30.269,18.18,37.39,85.839
1,Australian Grand Prix,Racing Bulls,LAW,18,14,HARD,7,36.165,24.07,48.73,108.965
1,Australian Grand Prix,Racing Bulls,LAW,19,14,HARD,8,41.187,24.218,40.403,105.808
1,Australian Grand Prix,Racing Bulls,LAW,20,14,HARD,9,29.568,18.433,37.067,85.068
1,Australian Grand Prix,Racing Bulls,LAW,21,14,HARD,10,29.999,17.994,36.917,84.91
1,Australian Grand Prix,Racing Bulls,LAW,22,14,HARD,11,29.874,18.032,37.135,85.041
1,Australian Grand Prix,Racing Bulls,LAW,23,14,HARD,12,30.148,17.998,36.928,85.074
1,Australian Grand Prix,Racing Bulls,LAW,24,14,HARD,13,30.096,18.083,38.347,86.526
1,Australian Grand Prix,Racing Bulls,LAW,25,14,HARD,14,30.197,18.086,36.972,85.255
1,Australian Grand Prix,Racing Bulls,LAW,26,14,HARD,15,29.78,18.048,37.144,84.972
1,Australian Grand Prix,Racing Bulls,LAW,27,14,HARD,16,30.0,18.079,37.094,85.173
1,Australian Grand Prix,Racing Bulls,LAW,28,14,HARD,17,30.088,18.065,37.224,85.377
1,Australian Grand Prix,Racing Bulls,LAW,29,14,HARD,18,30.109,18.063,37.081,85.253
1,Australian Grand Prix,Racing Bulls,LAW,30,14,HARD,19,30.163,18.125,37.362,85.65
1,Australian Grand Prix,Racing Bulls,LAW,31,14,HARD,20,30.358,18.099,37.335,85.792
1,Australian Grand Prix,Racing Bulls,LAW,32,14,HARD,21,30.132,18.063,37.672,85.867
1,Australian Grand Prix,Racing Bulls,LAW,33,13,HARD,22,30.338,23.781,59.988,114.107
1,Australian Grand Prix,Racing Bulls,LAW,34,14,SOFT,1,35.612,18.018,37.297,90.927
1,Australian Grand Prix,Racing Bulls,LAW,35,14,SOFT,2,29.684,17.768,36.758,84.21
1,Australian Grand Prix,Racing Bulls,LAW,36,14,SOFT,3,31.791,17.8,37.137,86.728
1,Australian Grand Prix,Racing Bulls,LAW,37,13,SOFT,4,30.472,17.992,37.276,85.74
1,Australian Grand Prix,Racing Bulls,LAW,38,13,SOFT,5,29.858,17.952,36.613,84.423
1,Australian Grand Prix,Racing Bulls,LAW,39,13,SOFT,6,29.654,17.837,36.633,84.124
1,Australian Grand Prix,Racing Bulls,LAW,40,13,SOFT,7,29.497,17.953,36.627,84.077
1,Australian Grand Prix,Racing Bulls,LAW,41,13,SOFT,8,29.49,17.906,36.524,83.92
1,Australian Grand Prix,Racing Bulls,LAW,42,13,SOFT,9,29.555,17.97,36.523,84.048
1,Australian Grand Prix,Racing Bulls,LAW,43,13,SOFT,10,29.564,18.033,36.635,84.232
1,Australian Grand Prix,Racing Bulls,LAW,44,13,SOFT,11,29.647,17.945,36.479,84.071
1,Australian Grand Prix,Racing Bulls,LAW,45,13,SOFT,12,29.849,18.022,36.439,84.31
1,Australian Grand Prix,Racing Bulls,LAW,46,13,SOFT,13,29.625,17.849,36.549,84.023
1,Australian Grand Prix,Racing Bulls,LAW,47,13,SOFT,14,29.407,17.848,36.528,83.783
1,Australian Grand Prix,Racing Bulls,LAW,48,13,SOFT,15,29.646,17.894,36.682,84.222
1,Australian Grand Prix,Racing Bulls,LAW,49,13,SOFT,16,29.404,17.932,36.596,83.932
1,Australian Grand Prix,Racing Bulls,LAW,50,13,SOFT,17,29.434,17.783,36.695,83.912
1,Australian Grand Prix,Racing Bulls,LAW,51,13,SOFT,18,29.699,17.888,36.873,84.46
1,Australian Grand Prix,Racing Bulls,LAW,52,13,SOFT,19,29.812,17.679,37.174,84.665
1,Australian Grand Prix,Racing Bulls,LAW,53,13,SOFT,20,29.988,17.791,37.383,85.162
1,Australian Grand Prix,Racing Bulls,LAW,54,13,SOFT,21,29.874,17.754,36.897,84.525
1,Australian Grand Prix,Racing Bulls,LAW,55,13,SOFT,22,30.102,17.996,37.025,85.123
1,Australian Grand Prix,Racing Bulls,LAW,56,13,SOFT,23,31.114,18.065,37.716,86.895
1,Australian Grand Prix,Racing Bulls,LAW,57,13,SOFT,24,30.9,17.896,37.521,86.317
1,Australian Grand Prix,Haas F1 Team,OCO,1,8,MEDIUM,1,,18.692,38.573,97.5
1,Australian Grand Prix,Haas F1 Team,OCO,2,8,MEDIUM,2,31.014,17.977,38.044,87.035
1,Australian Grand Prix,Haas F1 Team,OCO,3,8,MEDIUM,3,30.865,17.978,37.724,86.567
1,Australian Grand Prix,Haas F1 Team,OCO,4,8,MEDIUM,4,30.431,17.642,38.113,86.186
1,Australian Grand Prix,Haas F1 Team,OCO,5,8,MEDIUM,5,30.836,17.956,38.016,86.808
1,Australian Grand Prix,Haas F1 Team,OCO,6,8,MEDIUM,6,30.704,17.956,36.909,85.569
1,Australian Grand Prix,Haas F1 Team,OCO,7,8,MEDIUM,7,30.269,17.909,36.909,85.087
1,Australian Grand Prix,Haas F1 Team,OCO,8,8,MEDIUM,8,30.287,17.905,36.837,85.029
