round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Ferrari,SAI,8,5,98.183
1,Bahrain,McLaren,NOR,8,6,98.134
1,Bahrain,McLaren,PIA,8,7,97.956
1,Bahrain,Aston Martin,ALO,8,8,98.103
1,Bahrain,Mercedes,HAM,8,9,98.221
1,Bahrain,Racing Bulls,TSU,8,10,98.513
1,Bahrain,Williams,ALB,8,11,98.66
1,Bahrain,Haas,MAG,8,12,99.172
1,Bahrain,Kick Sauber,ZHO,8,13,99.646
1,Bahrain,Williams,SAR,8,14,99.58
1,Bahrain,Racing Bulls,RIC,8,15,99.529
1,Bahrain,Alpine,OCO,8,16,99.422
1,Bahrain,Alpine,GAS,8,17,99.287
1,Bahrain,Aston Martin,STR,8,18,98.857
1,Bahrain,Kick Sauber,BOT,8,19,98.968
1,Bahrain,Haas,HUL,8,20,97.82
1,Bahrain,Red Bull,VER,16,1,97.168
1,Bahrain,Red Bull,PER,16,2,95.783
1,Bahrain,Mercedes,RUS,16,3,96.683
1,Bahrain,Ferrari,LEC,16,4,96.673
1,Bahrain,Ferrari,SAI,16,5,96.376
1,Bahrain,McLaren,NOR,16,6,96.565
1,Bahrain,McLaren,PIA,16,7,96.427
1,Bahrain,Mercedes,HAM,16,8,97.091
1,Bahrain,Kick Sauber,ZHO,16,9,97.659
1,Bahrain,Aston Martin,ALO,16,10,118.814
1,Bahrain,Aston Martin,STR,16,11,98.027
1,Bahrain,Racing Bulls,TSU,16,12,97.516
1,Bahrain,Haas,MAG,16,13,97.749
1,Bahrain,Alpine,OCO,16,14,97.902
1,Bahrain,Williams,ALB,16,15,119.341
1,Bahrain,Racing Bulls,RIC,16,16,97.176
1,Bahrain,Haas,HUL,16,17,97.796
1,Bahrain,Kick Sauber,BOT,16,18,97.718
1,Bahrain,Alpine,GAS,16,19,97.521
1,Bahrain,Williams,SAR,16,20,101.37
1,Bahrain,Red Bull,VER,21,1,95.316
1,Bahrain,Red Bull,PER,21,2,96.165
1,Bahrain,Ferrari,SAI,21,3,96.104
1,Bahrain,Mercedes,RUS,21,4,96.769
1,Bahrain,Ferrari,LEC,21,5,96.977
1,Bahrain,McLaren,NOR,21,6,96.62
1,Bahrain,McLaren,PIA,21,7,96.733
1,Bahrain,Mercedes,HAM,21,8,96.51
1,Bahrain,Aston Martin,ALO,21,9,97.342
1,Bahrain,Kick Sauber,ZHO,21,10,97.947
1,Bahrain,Racing Bulls,TSU,21,11,97.777
1,Bahrain,Aston Martin,STR,21,12,98.022
1,Bahrain,Haas,MAG,21,13,98.01
1,Bahrain,Williams,ALB,21,14,97.918
1,Bahrain,Racing Bulls,RIC,21,15,97.392
1,Bahrain,Alpine,OCO,21,16,99.363
1,Bahrain,Kick Sauber,BOT,21,17,97.73
1,Bahrain,Alpine,GAS,21,18,98.094
