round,grand_prix,constructor,driver,lap,position,time
1,Bahrain,Ferrari,LEC,28,5,96.907
1,Bahrain,McLaren,NOR,28,6,97.018
1,Bahrain,McLaren,PIA,28,7,96.905
1,Bahrain,Mercedes,HAM,28,8,96.692
1,Bahrain,Aston Martin,ALO,28,9,97.256
1,Bahrain,Racing Bulls,TSU,28,10,98.164
1,Bahrain,Kick Sauber,ZHO,28,11,100.675
1,Bahrain,Haas,MAG,28,12,97.936
1,Bahrain,Williams,ALB,28,13,98.048
1,Bahrain,Racing Bulls,RIC,28,14,98.045
1,Bahrain,Alpine,OCO,28,15,98.372
1,Bahrain,Kick Sauber,BOT,28,16,98.595
1,Bahrain,Alpine,GAS,28,17,98.615
1,Bahrain,Aston Martin,STR,28,18,116.64
1,Bahrain,Haas,HUL,28,19,97.254
1,Bahrain,Williams,SAR,28,20,100.535
2,Saudi Arabia,Red Bull,VER,46,1,92.889
2,Saudi Arabia,Red Bull,PER,46,2,92.481
2,Saudi Arabia,Ferrari,LEC,46,3,92.052
2,Saudi Arabia,McLaren,PIA,46,4,92.557
2,Saudi Arabia,Aston Martin,ALO,46,5,92.641
2,Saudi Arabia,Mercedes,RUS,46,6,92.64
2,Saudi Arabia,Ferrari,BEA,46,7,92.749
2,Saudi Arabia,McLaren,NOR,46,8,92.502
2,Saudi Arabia,Mercedes,HAM,46,9,93.036
2,Saudi Arabia,Haas,HUL,46,10,92.43
2,Saudi Arabia,Haas,MAG,46,11,92.812
2,Saudi Arabia,Williams,ALB,46,12,92.54
2,Saudi Arabia,Alpine,OCO,46,13,93.757
2,Saudi Arabia,Racing Bulls,TSU,46,14,94.961
2,Saudi Arabia,Williams,SAR,46,15,94.141
2,Saudi Arabia,Racing Bulls,RIC,46,16,93.4
2,Saudi Arabia,Kick Sauber,BOT,46,17,92.948
2,Saudi Arabia,Kick Sauber,ZHO,46,18,92.874
2,Saudi Arabia,Red Bull,VER,35,1,92.536
2,Saudi Arabia,Red Bull,PER,35,2,92.418
2,Saudi Arabia,Ferrari,LEC,35,3,93.013
2,Saudi Arabia,McLaren,NOR,35,4,93.571
2,Saudi Arabia,Mercedes,HAM,35,5,93.742
2,Saudi Arabia,McLaren,PIA,35,6,94.118
2,Saudi Arabia,Aston Martin,ALO,35,7,93.395
2,Saudi Arabia,Mercedes,RUS,35,8,93.081
2,Saudi Arabia,Ferrari,BEA,35,9,93.266
2,Saudi Arabia,Kick Sauber,ZHO,35,10,94.405
2,Saudi Arabia,Haas,HUL,35,11,93.106
2,Saudi Arabia,Haas,MAG,35,12,93.923
2,Saudi Arabia,Alpine,OCO,35,13,94.061
2,Saudi Arabia,Williams,ALB,35,14,95.05
2,Saudi Arabia,Racing Bulls,TSU,35,15,94.781
2,Saudi Arabia,Williams,SAR,35,16,94.716
2,Saudi Arabia,Racing Bulls,RIC,35,17,94.658
2,Saudi Arabia,Kick Sauber,BOT,35,18,97.864
2,Saudi Arabia,Red Bull,VER,30,1,92.601
2,Saudi Arabia,Red Bull,PER,30,2,92.782
2,Saudi Arabia,Ferrari,LEC,30,3,92.863
2,Saudi Arabia,McLaren,NOR,30,4,93.65
2,Saudi Arabia,Mercedes,HAM,30,5,93.354
2,Saudi Arabia,McLaren,PIA,30,6,93.376
2,Saudi Arabia,Aston Martin,ALO,30,7,93.493
2,Saudi Arabia,Mercedes,RUS,30,8,93.631
2,Saudi Arabia,Ferrari,BEA,30,9,93.771
2,Saudi Arabia,Haas,HUL,30,10,94.307
2,Saudi Arabia,Kick Sauber,ZHO,30,11,94.885
2,Saudi Arabia,Haas,MAG,30,12,95.843
2,Saudi Arabia,Alpine,OCO,30,13,96.117
2,Saudi Arabia,Racing Bulls,TSU,30,14,96.041
2,Saudi Arabia,Williams,ALB,30,15,96.135
2,Saudi Arabia,Williams,SAR,30,16,95.75
2,Saudi Arabia,Racing Bulls,RIC,30,17,95.608
2,Saudi Arabia,Kick Sauber,BOT,30,18,95.313
2,Saudi Arabia,Red Bull,VER,32,1,92.545
2,Saudi Arabia,Red Bull,PER,32,2,92.506
2,Saudi Arabia,Ferrari,LEC,32,3,92.959
2,Saudi Arabia,McLaren,NOR,32,4,93.309
2,Saudi Arabia,Mercedes,HAM,32,5,93.406
2,Saudi Arabia,McLaren,PIA,32,6,93.261
2,Saudi Arabia,Aston Martin,ALO,32,7,93.398
2,Saudi Arabia,Mercedes,RUS,32,8,93.39
2,Saudi Arabia,Ferrari,BEA,32,9,93.086
2,Saudi Arabia,Haas,HUL,32,10,93.999
2,Saudi Arabia,Kick Sauber,ZHO,32,11,94.631
2,Saudi Arabia,Haas,MAG,32,12,95.783
2,Saudi Arabia,Alpine,OCO,32,13,95.709
2,Saudi Arabia,Racing Bulls,TSU,32,14,95.694
2,Saudi Arabia,Williams,ALB,32,15,95.621
2,Saudi Arabia,Williams,SAR,32,16,95.897
2,Saudi Arabia,Racing Bulls,RIC,32,17,95.804
